Designator,Mid X,Mid Y,Rotation,Layer
C1,266.35,-104.675,0.0,bottom
C10,266.95,-77.25,180.0,bottom
C2,267.25,-84.7,0.0,bottom
C3,278.75,-95.9,180.0,bottom
C4,280.275,-83.575,90.0,bottom
C5,278.225,-83.575,90.0,bottom
C6,278.75,-93.8,180.0,bottom
C7,271.9,-96.125,180.0,bottom
C8,271.9,-98.25,180.0,bottom
C9,258.425,-65.575,0.0,bottom
R1,289.25,-105.25,0.0,bottom
R2,266.9375,-75.15,180.0,bottom
R3,257.85,-33.5125,270.0,bottom
R4,261.15,-31.7125,270.0,bottom
