Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","SW_Push","SW_Cherry_MX_PCB",38.100000,-38.100000,0.000000,top
"SW2","SW_Push","SW_Cherry_MX_PCB",57.150000,-38.100000,0.000000,top
"SW3","SW_Push","SW_Cherry_MX_PCB",76.200000,-38.100000,0.000000,top
"SW4","SW_Push","SW_Cherry_MX_PCB",95.250000,-38.100000,0.000000,top
"SW5","SW_Push","SW_Cherry_MX_PCB",114.300000,-38.100000,0.000000,top
"SW6","SW_Push","SW_Cherry_MX_PCB",133.350000,-38.100000,0.000000,top
"SW7","SW_Push","SW_Cherry_MX_PCB",152.400000,-38.100000,0.000000,top
"SW8","SW_Push","SW_Cherry_MX_PCB",171.450000,-38.100000,0.000000,top
"SW9","SW_Push","SW_Cherry_MX_PCB",190.500000,-38.100000,0.000000,top
"SW10","SW_Push","SW_Cherry_MX_PCB",209.550000,-38.100000,0.000000,top
"SW11","SW_Push","SW_Cherry_MX_PCB",228.600000,-38.100000,0.000000,top
"SW12","SW_Push","SW_Cherry_MX_PCB",247.650000,-38.100000,0.000000,top
"SW13","SW_Push","SW_Cherry_MX_PCB",266.700000,-38.100000,0.000000,top
"SW14","SW_Push","SW_Cherry_MX_PCB",285.750000,-38.100000,0.000000,top
"SW15","SW_Push","SW_Cherry_MX_PCB",304.800000,-38.100000,0.000000,top
"SW16","SW_Push","SW_Cherry_MX_PCB",323.850000,-38.100000,0.000000,top
"SW17","SW_Push","SW_Cherry_MX_PCB",38.100000,-57.150000,0.000000,top
"SW18","SW_Push","SW_Cherry_MX_PCB",57.150000,-57.150000,0.000000,top
"SW19","SW_Push","SW_Cherry_MX_PCB",76.200000,-57.150000,0.000000,top
"SW20","SW_Push","SW_Cherry_MX_PCB",95.250000,-57.150000,0.000000,top
"SW21","SW_Push","SW_Cherry_MX_PCB",114.300000,-57.150000,0.000000,top
"SW22","SW_Push","SW_Cherry_MX_PCB",133.350000,-57.150000,0.000000,top
"SW23","SW_Push","SW_Cherry_MX_PCB",152.400000,-57.150000,0.000000,top
"SW24","SW_Push","SW_Cherry_MX_PCB",171.450000,-57.150000,0.000000,top
"SW25","SW_Push","SW_Cherry_MX_PCB",190.500000,-57.150000,0.000000,top
"SW26","SW_Push","SW_Cherry_MX_PCB",209.550000,-57.150000,0.000000,top
"SW27","SW_Push","SW_Cherry_MX_PCB",228.600000,-57.150000,0.000000,top
"SW28","SW_Push","SW_Cherry_MX_PCB",247.650000,-57.150000,0.000000,top
"SW29","SW_Push","SW_Cherry_MX_PCB",266.700000,-57.150000,0.000000,top
"SW30","SW_Push","SW_Cherry_MX_PCB",295.275000,-57.150000,0.000000,top
"SW31","SW_Push","SW_Cherry_MX_PCB",323.850000,-57.150000,0.000000,top
"SW32","SW_Push","SW_Cherry_MX_PCB",42.862500,-76.200000,0.000000,top
"SW33","SW_Push","SW_Cherry_MX_PCB",66.675000,-76.200000,0.000000,top
"SW34","SW_Push","SW_Cherry_MX_PCB",85.725000,-76.200000,0.000000,top
"SW35","SW_Push","SW_Cherry_MX_PCB",104.775000,-76.200000,0.000000,top
"SW36","SW_Push","SW_Cherry_MX_PCB",123.825000,-76.200000,0.000000,top
"SW37","SW_Push","SW_Cherry_MX_PCB",142.875000,-76.200000,0.000000,top
"SW38","SW_Push","SW_Cherry_MX_PCB",161.925000,-76.200000,0.000000,top
"SW39","SW_Push","SW_Cherry_MX_PCB",180.975000,-76.200000,0.000000,top
"SW40","SW_Push","SW_Cherry_MX_PCB",200.025000,-76.200000,0.000000,top
"SW41","SW_Push","SW_Cherry_MX_PCB",219.075000,-76.200000,0.000000,top
"SW42","SW_Push","SW_Cherry_MX_PCB",238.125000,-76.200000,0.000000,top
"SW43","SW_Push","SW_Cherry_MX_PCB",257.175000,-76.200000,0.000000,top
"SW44","SW_Push","SW_Cherry_MX_PCB",276.225000,-76.200000,0.000000,top
"SW45","SW_Push","SW_Cherry_MX_PCB",300.037500,-76.200000,0.000000,top
"SW46","SW_Push","SW_Cherry_MX_PCB",323.850000,-76.200000,0.000000,top
"SW47","SW_Push","SW_Cherry_MX_PCB",45.243750,-95.250000,0.000000,top
"SW48","SW_Push","SW_Cherry_MX_PCB",71.437500,-95.250000,0.000000,top
"SW49","SW_Push","SW_Cherry_MX_PCB",90.487500,-95.250000,0.000000,top
"SW50","SW_Push","SW_Cherry_MX_PCB",109.537500,-95.250000,0.000000,top
"SW51","SW_Push","SW_Cherry_MX_PCB",128.587500,-95.250000,0.000000,top
"SW52","SW_Push","SW_Cherry_MX_PCB",147.637500,-95.250000,0.000000,top
"SW53","SW_Push","SW_Cherry_MX_PCB",166.687500,-95.250000,0.000000,top
"SW54","SW_Push","SW_Cherry_MX_PCB",185.737500,-95.250000,0.000000,top
"SW55","SW_Push","SW_Cherry_MX_PCB",204.787500,-95.250000,0.000000,top
"SW56","SW_Push","SW_Cherry_MX_PCB",223.837500,-95.250000,0.000000,top
"SW57","SW_Push","SW_Cherry_MX_PCB",242.887500,-95.250000,0.000000,top
"SW58","SW_Push","SW_Cherry_MX_PCB",261.937500,-95.250000,0.000000,top
"SW59","SW_Push","SW_Cherry_MX_PCB",292.893750,-95.250000,0.000000,top
"SW60","SW_Push","SW_Cherry_MX_PCB",323.850000,-95.250000,0.000000,top
